provider,mode,category,hit_at_k,recall_at_k,precision_at_k,reciprocal_rank,all_relevant_at_k,prohibited_at_k,prohibited_count,useful_before_harmful,returned_chars,returned_words,latency_ms
perseus_vault,raw,conflict,1.0,1.0,0.2,1.0,1.0,0.0,0.0,,416.0,60.0,19.894708995707333
perseus_vault,raw,exact,1.0,1.0,0.20000000000000004,1.0,1.0,0.13333333333333333,0.6666666666666666,1.0,401.0,60.0,57.34990234486759
perseus_vault,raw,multihop,1.0,1.0,0.6,1.0,1.0,0.0,0.0,,370.0,51.5,20.14195849187672
perseus_vault,raw,negative,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,446.5,66.5,19.695374998264015
perseus_vault,raw,procedure,1.0,1.0,0.2,0.7666666666666666,1.0,0.2,1.0,0.6,552.4,84.0,20.724849635735154
perseus_vault,raw,protocol,1.0,1.0,0.4,1.0,1.0,0.2,1.0,1.0,530.0,77.0,19.909707945771515
perseus_vault,raw,scope,1.0,1.0,0.3333333333333333,1.0,1.0,0.0,0.0,1.0,143.66666666666666,22.0,39.60637468844652
perseus_vault,raw,semantic,1.0,1.0,0.20000000000000004,1.0,1.0,0.0,0.0,,523.0,80.66666666666667,20.31380570648859
perseus_vault,raw,temporal_asof,0.5,0.5,0.1,0.25,0.5,0.1,0.5,0.0,456.0,64.5,21.35214547161013
perseus_vault,raw,temporal_current,1.0,1.0,0.2,0.875,1.0,0.2,1.0,0.75,385.25,55.25,26.09517693053931
